date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:09:36	1549/1549	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Dec%202013%2016:09:36%20GMT	http://www.desperadosrestaurant.com/robots.txt		(from )
17:09:36	139/139	---M--	200	added ('OK')	text/html	etag:%2266f558f8e041cd1:0%22	http://www.desperadosrestaurant.com/	/Users/TheViking/websites/DesperadosRestaurant/www.desperadosrestaurant.com/index.html	(from )
17:09:37	7663/7663	---M--	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202013%2016:09:36%20GMT	http://www.desperadosrestaurant.com/index.php	/Users/TheViking/websites/DesperadosRestaurant/www.desperadosrestaurant.com/index-2.html	(from http://www.desperadosrestaurant.com/)
17:09:38	6110/6110	---M--	200	added ('OK')	text/css	etag:%228c4e9fce041cd1:0%22	http://www.desperadosrestaurant.com/css/style.css	/Users/TheViking/websites/DesperadosRestaurant/www.desperadosrestaurant.com/css/style.css	(from http://www.desperadosrestaurant.com/index.php)
17:09:39	1929/1929	---M--	200	added ('OK')	text/css	etag:%22a694cffce041cd1:0%22	http://www.desperadosrestaurant.com/css/dropdown.css	/Users/TheViking/websites/DesperadosRestaurant/www.desperadosrestaurant.com/css/dropdown.css	(from http://www.desperadosrestaurant.com/index.php)
17:09:40	1448/1448	---M--	200	added ('OK')	text/css	etag:%22dad1cafce041cd1:0%22	http://www.desperadosrestaurant.com/css/jquery.jscrollpane.css	/Users/TheViking/websites/DesperadosRestaurant/www.desperadosrestaurant.com/css/jquery.jscrollpane.css	(from http://www.desperadosrestaurant.com/index.php)
17:09:40	2235/2235	---M--	200	added ('OK')	application/x-javascript	etag:%22f8fb48fde041cd1:0%22	http://www.desperadosrestaurant.com/script/jquery.mousewheel.js	/Users/TheViking/websites/DesperadosRestaurant/www.desperadosrestaurant.com/script/jquery.mousewheel.js	(from http://www.desperadosrestaurant.com/index.php)
17:09:42	14616/14616	---M--	200	added ('OK')	application/x-javascript	etag:%222a2050fde041cd1:0%22	http://www.desperadosrestaurant.com/script/jquery.jscrollpane.min.js	/Users/TheViking/websites/DesperadosRestaurant/www.desperadosrestaurant.com/script/jquery.jscrollpane.min.js	(from http://www.desperadosrestaurant.com/index.php)
17:09:44	8489/8489	---M--	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202013%2016:09:43%20GMT	http://www.desperadosrestaurant.com/catering.php	/Users/TheViking/websites/DesperadosRestaurant/www.desperadosrestaurant.com/catering.html	(from http://www.desperadosrestaurant.com/index.php)
17:09:44	6865/6865	---M--	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202013%2016:09:43%20GMT	http://www.desperadosrestaurant.com/banquets.php	/Users/TheViking/websites/DesperadosRestaurant/www.desperadosrestaurant.com/banquets.html	(from http://www.desperadosrestaurant.com/index.php)
17:09:45	7730/7730	---M--	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202013%2016:09:44%20GMT	http://www.desperadosrestaurant.com/locations.php	/Users/TheViking/websites/DesperadosRestaurant/www.desperadosrestaurant.com/locations.html	(from http://www.desperadosrestaurant.com/index.php)
17:09:46	9886/9886	---M--	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202013%2016:09:45%20GMT	http://www.desperadosrestaurant.com/history.php	/Users/TheViking/websites/DesperadosRestaurant/www.desperadosrestaurant.com/history.html	(from http://www.desperadosrestaurant.com/index.php)
17:09:53	8630/8630	---M--	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202013%2016:09:48%20GMT	http://www.desperadosrestaurant.com/contact.php	/Users/TheViking/websites/DesperadosRestaurant/www.desperadosrestaurant.com/contact.html	(from http://www.desperadosrestaurant.com/index.php)
17:10:15	104293/104293	---M--	200	added ('OK')	image/jpeg	etag:%221cbe72fce041cd1:0%22	http://www.desperadosrestaurant.com/images/home-rotator/Home_Slide_Marg_LO.jpg	/Users/TheViking/websites/DesperadosRestaurant/www.desperadosrestaurant.com/images/home-rotator/Home_Slide_Marg_LO.jpg	(from http://www.desperadosrestaurant.com/index.php)
17:10:18	254011/254011	---M--	200	added ('OK')	application/pdf	etag:%227a85c330ddd0cd1:0%22	http://www.desperadosrestaurant.com/menu/breakfast.pdf	/Users/TheViking/websites/DesperadosRestaurant/www.desperadosrestaurant.com/menu/breakfast.pdf	(from http://www.desperadosrestaurant.com/index.php)
17:10:30	319237/319237	---M--	200	added ('OK')	application/pdf	etag:%2216668736ddd0cd1:0%22	http://www.desperadosrestaurant.com/menu/lunch.pdf	/Users/TheViking/websites/DesperadosRestaurant/www.desperadosrestaurant.com/menu/lunch.pdf	(from http://www.desperadosrestaurant.com/index.php)
