date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:26:58	208/208	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Dec%202013%2008:26:43%20GMT	http://demo.mosaicpro.biz/robots.txt		(from )
09:27:03	55417/55417	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202013%2008:26:43%20GMT	http://demo.mosaicpro.biz/flatplus/php/admin/	/Users/TheViking/websites/FlatPlus/demo.mosaicpro.biz/flatplus/php/admin/index.html	(from )
09:27:14	55425/55425	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202013%2008:26:50%20GMT	http://demo.mosaicpro.biz/flatplus/php/admin/index.html?lang=en	/Users/TheViking/websites/FlatPlus/demo.mosaicpro.biz/flatplus/php/admin/index9ed2.html	(from http://demo.mosaicpro.biz/flatplus/php/admin/)
09:27:14	46973/46973	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202013%2008:26:55%20GMT	http://demo.mosaicpro.biz/flatplus/php/admin/ui.html?lang=en	/Users/TheViking/websites/FlatPlus/demo.mosaicpro.biz/flatplus/php/admin/ui9ed2.html	(from http://demo.mosaicpro.biz/flatplus/php/admin/)
09:27:15	46317/46317	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202013%2008:26:56%20GMT	http://demo.mosaicpro.biz/flatplus/php/admin/form_wizards.html?lang=en	/Users/TheViking/websites/FlatPlus/demo.mosaicpro.biz/flatplus/php/admin/form_wizards9ed2.html	(from http://demo.mosaicpro.biz/flatplus/php/admin/)
09:27:21	24151/24151	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202013%2008:27:03%20GMT	http://demo.mosaicpro.biz/flatplus/php/admin/form_validator.html?lang=en	/Users/TheViking/websites/FlatPlus/demo.mosaicpro.biz/flatplus/php/admin/form_validator9ed2.html	(from http://demo.mosaicpro.biz/flatplus/php/admin/)
09:27:24	21672/21672	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202013%2008:27:06%20GMT	http://demo.mosaicpro.biz/flatplus/php/admin/file_managers.html?lang=en	/Users/TheViking/websites/FlatPlus/demo.mosaicpro.biz/flatplus/php/admin/file_managers9ed2.html	(from http://demo.mosaicpro.biz/flatplus/php/admin/)
09:27:26	82523/82523	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202013%2008:27:00%20GMT	http://demo.mosaicpro.biz/flatplus/php/admin/form_elements.html?lang=en	/Users/TheViking/websites/FlatPlus/demo.mosaicpro.biz/flatplus/php/admin/form_elements9ed2.html	(from http://demo.mosaicpro.biz/flatplus/php/admin/)
09:27:27	54097/54097	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202013%2008:27:10%20GMT	http://demo.mosaicpro.biz/flatplus/php/admin/tables.html?lang=en	/Users/TheViking/websites/FlatPlus/demo.mosaicpro.biz/flatplus/php/admin/tables9ed2.html	(from http://demo.mosaicpro.biz/flatplus/php/admin/)
09:27:28	35299/35299	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202013%2008:27:11%20GMT	http://demo.mosaicpro.biz/flatplus/php/admin/typography.html?lang=en	/Users/TheViking/websites/FlatPlus/demo.mosaicpro.biz/flatplus/php/admin/typography9ed2.html	(from http://demo.mosaicpro.biz/flatplus/php/admin/)
09:27:29	27279/27279	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202013%2008:27:12%20GMT	http://demo.mosaicpro.biz/flatplus/php/admin/grid.html?lang=en	/Users/TheViking/websites/FlatPlus/demo.mosaicpro.biz/flatplus/php/admin/grid9ed2.html	(from http://demo.mosaicpro.biz/flatplus/php/admin/)
09:27:37	24965/24965	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202013%2008:27:14%20GMT	http://demo.mosaicpro.biz/flatplus/php/admin/notifications.html?lang=en	/Users/TheViking/websites/FlatPlus/demo.mosaicpro.biz/flatplus/php/admin/notifications9ed2.html	(from http://demo.mosaicpro.biz/flatplus/php/admin/)
09:27:41	29301/29301	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202013%2008:27:21%20GMT	http://demo.mosaicpro.biz/flatplus/php/admin/sliders.html?lang=en	/Users/TheViking/websites/FlatPlus/demo.mosaicpro.biz/flatplus/php/admin/sliders9ed2.html	(from http://demo.mosaicpro.biz/flatplus/php/admin/)
09:27:41	35142/35142	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202013%2008:27:17%20GMT	http://demo.mosaicpro.biz/flatplus/php/admin/modals.html?lang=en	/Users/TheViking/websites/FlatPlus/demo.mosaicpro.biz/flatplus/php/admin/modals9ed2.html	(from http://demo.mosaicpro.biz/flatplus/php/admin/)
09:27:46	30552/30552	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202013%2008:27:27%20GMT	http://demo.mosaicpro.biz/flatplus/php/admin/timelines.html?lang=en	/Users/TheViking/websites/FlatPlus/demo.mosaicpro.biz/flatplus/php/admin/timelines9ed2.html	(from http://demo.mosaicpro.biz/flatplus/php/admin/)
09:27:46	34295/34295	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202013%2008:27:24%20GMT	http://demo.mosaicpro.biz/flatplus/php/admin/gallery.html?lang=en	/Users/TheViking/websites/FlatPlus/demo.mosaicpro.biz/flatplus/php/admin/gallery9ed2.html	(from http://demo.mosaicpro.biz/flatplus/php/admin/)
09:27:47	54259/54259	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202013%2008:27:19%20GMT	http://demo.mosaicpro.biz/flatplus/php/admin/widgets.html?lang=en	/Users/TheViking/websites/FlatPlus/demo.mosaicpro.biz/flatplus/php/admin/widgets9ed2.html	(from http://demo.mosaicpro.biz/flatplus/php/admin/)
09:27:49	44258/44258	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202013%2008:27:31%20GMT	http://demo.mosaicpro.biz/flatplus/php/admin/tabs.html?lang=en	/Users/TheViking/websites/FlatPlus/demo.mosaicpro.biz/flatplus/php/admin/tabs9ed2.html	(from http://demo.mosaicpro.biz/flatplus/php/admin/)
09:27:50	24652/24652	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202013%2008:27:32%20GMT	http://demo.mosaicpro.biz/flatplus/php/admin/charts.html?lang=en	/Users/TheViking/websites/FlatPlus/demo.mosaicpro.biz/flatplus/php/admin/charts9ed2.html	(from http://demo.mosaicpro.biz/flatplus/php/admin/)
09:27:50	22499/22499	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202013%2008:27:34%20GMT	http://demo.mosaicpro.biz/flatplus/php/admin/calendar.html?lang=en	/Users/TheViking/websites/FlatPlus/demo.mosaicpro.biz/flatplus/php/admin/calendar9ed2.html	(from http://demo.mosaicpro.biz/flatplus/php/admin/)
09:28:11	22691/22691	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202013%2008:27:54%20GMT	http://demo.mosaicpro.biz/flatplus/php/admin/maps_google.html?lang=en	/Users/TheViking/websites/FlatPlus/demo.mosaicpro.biz/flatplus/php/admin/maps_google9ed2.html	(from http://demo.mosaicpro.biz/flatplus/php/admin/)
09:28:12	24584/24584	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202013%2008:27:56%20GMT	http://demo.mosaicpro.biz/flatplus/php/admin/ratings.html?lang=en	/Users/TheViking/websites/FlatPlus/demo.mosaicpro.biz/flatplus/php/admin/ratings9ed2.html	(from http://demo.mosaicpro.biz/flatplus/php/admin/)
09:28:20	38447/38447	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202013%2008:27:57%20GMT	http://demo.mosaicpro.biz/flatplus/php/admin/email.html?lang=en	/Users/TheViking/websites/FlatPlus/demo.mosaicpro.biz/flatplus/php/admin/email9ed2.html	(from http://demo.mosaicpro.biz/flatplus/php/admin/)
09:28:21	4245/4245	---M--	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202013%2008:28:06%20GMT	http://demo.mosaicpro.biz/flatplus/php/admin/login.html?lang=en	/Users/TheViking/websites/FlatPlus/demo.mosaicpro.biz/flatplus/php/admin/login9ed2.html	(from http://demo.mosaicpro.biz/flatplus/php/admin/)
09:28:22	29074/29074	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202013%2008:28:00%20GMT	http://demo.mosaicpro.biz/flatplus/php/admin/finances.html?lang=en	/Users/TheViking/websites/FlatPlus/demo.mosaicpro.biz/flatplus/php/admin/finances9ed2.html	(from http://demo.mosaicpro.biz/flatplus/php/admin/)
09:28:22	26669/26669	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202013%2008:28:05%20GMT	http://demo.mosaicpro.biz/flatplus/php/admin/social.html?lang=en	/Users/TheViking/websites/FlatPlus/demo.mosaicpro.biz/flatplus/php/admin/social9ed2.html	(from http://demo.mosaicpro.biz/flatplus/php/admin/)
09:28:22	4357/4357	---M--	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202013%2008:28:07%20GMT	http://demo.mosaicpro.biz/flatplus/php/admin/signup.html?lang=en	/Users/TheViking/websites/FlatPlus/demo.mosaicpro.biz/flatplus/php/admin/signup9ed2.html	(from http://demo.mosaicpro.biz/flatplus/php/admin/)
09:28:23	19179/19179	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202013%2008:28:07%20GMT	http://demo.mosaicpro.biz/flatplus/php/admin/error.html?lang=en	/Users/TheViking/websites/FlatPlus/demo.mosaicpro.biz/flatplus/php/admin/error9ed2.html	(from http://demo.mosaicpro.biz/flatplus/php/admin/)
09:28:33	25939/25939	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202013%2008:28:11%20GMT	http://demo.mosaicpro.biz/flatplus/php/admin/tables_responsive.html?lang=en	/Users/TheViking/websites/FlatPlus/demo.mosaicpro.biz/flatplus/php/admin/tables_responsive9ed2.html	(from http://demo.mosaicpro.biz/flatplus/php/admin/tables.html?lang=en)
