date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:18:23	196/196	---MCZ	200	added ('OK')	text/plain	date:Thu,%2014%20May%202015%2015:18:22%20GMT	http://www.studioskeie.no/robots.txt		(from )
17:18:24	66582/66582	---MCZ	200	added ('OK')	text/html	etag:W/%22be98a02cd2114852d6533b40164e8d7a-gzip%22	http://www.studioskeie.no/	/Users/MartinBratteng/websites/studioskeie/www.studioskeie.no/index.html	(from )
17:18:26	20800/20800	---M--	200	added ('OK')	image/png	etag:W/%221518d83c8cfa2ec5da612c275f3e2b92%22	http://www.studioskeie.no/favicon.ico	/Users/MartinBratteng/websites/studioskeie/www.studioskeie.no/favicon.png	(from http://www.studioskeie.no/)
17:18:29	33858/33858	---MC-	404	error ('Not%20Found')	text/html	etag:W/%22f8fa45bd3ca89a9e962e3a1100381088%22	http://www.studioskeie.no/GET	/Users/MartinBratteng/websites/studioskeie/www.studioskeie.no/GET.1.delayed	(from http://www.studioskeie.no/)
17:18:31	214719/214719	---M-Z	200	added ('OK')	text/html	etag:W/%22ebcbf931f1deef626b49dadf0effac6d%22	http://www.studioskeie.no/logodesign-og-identitetsdesign/	/Users/MartinBratteng/websites/studioskeie/www.studioskeie.no/logodesign-og-identitetsdesign/index.html	(from http://www.studioskeie.no/)
17:18:34	285915/285915	---MCZ	200	added ('OK')	text/html	etag:W/%226d1293eb8361cf630906142fec5fb361-gzip%22	http://www.studioskeie.no/grafisk-design/	/Users/MartinBratteng/websites/studioskeie/www.studioskeie.no/grafisk-design/index.html	(from http://www.studioskeie.no/)
17:18:34	302576/302576	---MCZ	200	added ('OK')	text/html	etag:W/%22dc95af6bdc5eab1ce66ef4547f2bb7e1-gzip%22	http://www.studioskeie.no/markedsmateriell-og-reklamekampanje/	/Users/MartinBratteng/websites/studioskeie/www.studioskeie.no/markedsmateriell-og-reklamekampanje/index.html	(from http://www.studioskeie.no/)
17:18:35	248332/248332	---MCZ	200	added ('OK')	text/html	etag:W/%22a5b29d7734bc72e4098cd52160e1f194-gzip%22	http://www.studioskeie.no/web-design/	/Users/MartinBratteng/websites/studioskeie/www.studioskeie.no/web-design/index.html	(from http://www.studioskeie.no/)
17:18:36	283878/283878	---MCZ	200	added ('OK')	text/html	etag:W/%22f6090f8f546c7a99592b00302ccc47b9-gzip%22	http://www.studioskeie.no/brosjyre-design-kataloger-og-arsrapporter/	/Users/MartinBratteng/websites/studioskeie/www.studioskeie.no/brosjyre-design-kataloger-og-arsrapporter/index.html	(from http://www.studioskeie.no/)
17:18:36	33858/33858	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22f8fa45bd3ca89a9e962e3a1100381088%22	http://www.studioskeie.no/grafisk-design/GET	/Users/MartinBratteng/websites/studioskeie/www.studioskeie.no/grafisk-design/GET.2.delayed	(from http://www.studioskeie.no/grafisk-design/)
17:18:39	146611/146611	---MCZ	200	added ('OK')	text/html	etag:W/%2285a07be3ea4ac23fc9aa6bd7f9a6194c-gzip%22	http://www.studioskeie.no/reklamefotograf-og-illustrator/	/Users/MartinBratteng/websites/studioskeie/www.studioskeie.no/reklamefotograf-og-illustrator/index.html	(from http://www.studioskeie.no/)
