date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:14:22	264/264	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2006%20Jun%202015%2001:14:22%20GMT	http://labs.rampinteractive.co.uk/robots.txt		(from )
03:14:23	12754/12754	---MCZ	200	added ('OK')	text/html	etag:%22ffd427346b07583e0b8d96047cd5c351%22	http://labs.rampinteractive.co.uk/touchSwipe/docs/	/Users/MartinBratteng/websites/touchSwipe/labs.rampinteractive.co.uk/touchSwipe/docs/index.html	(from )
03:14:23	6410/6410	---MCZ	200	added ('OK')	text/css	etag:%22a9ac9f2f18488604cd922fb7b507b77b%22	http://labs.rampinteractive.co.uk/touchSwipe/docs/css/common.css	/Users/MartinBratteng/websites/touchSwipe/labs.rampinteractive.co.uk/touchSwipe/docs/css/common.css	(from http://labs.rampinteractive.co.uk/touchSwipe/docs/)
03:14:23	816/816	---M-Z	200	added ('OK')	text/css	etag:%22ab0926b95ced7723435dfa8c1a2e0539%22	http://labs.rampinteractive.co.uk/touchSwipe/docs/css/prettify.css	/Users/MartinBratteng/websites/touchSwipe/labs.rampinteractive.co.uk/touchSwipe/docs/css/prettify.css	(from http://labs.rampinteractive.co.uk/touchSwipe/docs/)
03:14:24	94/94	---M--	200	added ('OK')	text/css	etag:%22b7c4679f06efed01bd446014b41c4fe0%22	http://labs.rampinteractive.co.uk/touchSwipe/docs/css/print.css	/Users/MartinBratteng/websites/touchSwipe/labs.rampinteractive.co.uk/touchSwipe/docs/css/print.css	(from http://labs.rampinteractive.co.uk/touchSwipe/docs/)
03:14:24	81939/81939	---MCZ	200	added ('OK')	text/css	etag:%2224077a7b6605ee8c2a44f3cb71cc7998%22	http://labs.rampinteractive.co.uk/touchSwipe/docs/css/bootstrap.min.css	/Users/MartinBratteng/websites/touchSwipe/labs.rampinteractive.co.uk/touchSwipe/docs/css/bootstrap.min.css	(from http://labs.rampinteractive.co.uk/touchSwipe/docs/)
03:14:24	2313/2313	---M--	200	added ('OK')	image/png	etag:%22eed8b1c535df48511e1a242f112d2848%22	http://labs.rampinteractive.co.uk/touchSwipe/docs/img/classicons.png	/Users/MartinBratteng/websites/touchSwipe/labs.rampinteractive.co.uk/touchSwipe/docs/img/classicons.png	(from http://labs.rampinteractive.co.uk/touchSwipe/docs/)
03:14:24	370/370	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2006%20Jun%202015%2001:14:00%20GMT	http://labs.rampinteractive.co.uk/touchSwipe/docs/js/bootstrap.min.js	/Users/MartinBratteng/websites/touchSwipe/labs.rampinteractive.co.uk/touchSwipe/docs/js/bootstrap.min.js	(from http://labs.rampinteractive.co.uk/touchSwipe/docs/)
03:14:25	303/303	---M-Z	200	added ('OK')	text/javascript	etag:%22286ccf3cf2d2e5ef898ed72c81b6d69c%22	http://labs.rampinteractive.co.uk/touchSwipe/docs/js/accordion.js	/Users/MartinBratteng/websites/touchSwipe/labs.rampinteractive.co.uk/touchSwipe/docs/js/accordion.js	(from http://labs.rampinteractive.co.uk/touchSwipe/docs/)
03:14:25	13632/13632	---MCZ	200	added ('OK')	text/javascript	etag:%22709bfcc456c694bfe8ee86d184a1c360%22	http://labs.rampinteractive.co.uk/touchSwipe/docs/js/prettify.js	/Users/MartinBratteng/websites/touchSwipe/labs.rampinteractive.co.uk/touchSwipe/docs/js/prettify.js	(from http://labs.rampinteractive.co.uk/touchSwipe/docs/)
03:14:25	4256/4256	---MCZ	200	added ('OK')	text/html	etag:%220533044d866cd4839fcaa83faaeeea52%22	http://labs.rampinteractive.co.uk/touchSwipe/docs/files.html	/Users/MartinBratteng/websites/touchSwipe/labs.rampinteractive.co.uk/touchSwipe/docs/files.html	(from http://labs.rampinteractive.co.uk/touchSwipe/docs/)
03:14:26	94840/94840	---MCZ	200	added ('OK')	text/javascript	etag:%22b8d64d0bc142b3f670cc0611b0aebcae%22	http://labs.rampinteractive.co.uk/touchSwipe/docs/js/jquery-1.7.2.min.js	/Users/MartinBratteng/websites/touchSwipe/labs.rampinteractive.co.uk/touchSwipe/docs/js/jquery-1.7.2.min.js	(from http://labs.rampinteractive.co.uk/touchSwipe/docs/)
03:14:26	5713/5713	---MCZ	200	added ('OK')	text/html	etag:%22d57593bd3a1e1dd1b511d9a768cb647a%22	http://labs.rampinteractive.co.uk/touchSwipe/docs/symbols/%24.html	/Users/MartinBratteng/websites/touchSwipe/labs.rampinteractive.co.uk/touchSwipe/docs/symbols/$.html	(from http://labs.rampinteractive.co.uk/touchSwipe/docs/)
03:14:26	5788/5788	---MCZ	200	added ('OK')	text/html	etag:%22baadfe4e3dde02a5b022a31808b55e86%22	http://labs.rampinteractive.co.uk/touchSwipe/docs/symbols/%24.fn.html	/Users/MartinBratteng/websites/touchSwipe/labs.rampinteractive.co.uk/touchSwipe/docs/symbols/$.fn.html	(from http://labs.rampinteractive.co.uk/touchSwipe/docs/)
03:14:26	55479/55479	---MCZ	200	added ('OK')	text/html	etag:%22d75bb8eb77f606b22fe983334cedc920%22	http://labs.rampinteractive.co.uk/touchSwipe/docs/symbols/%24.fn.swipe.html	/Users/MartinBratteng/websites/touchSwipe/labs.rampinteractive.co.uk/touchSwipe/docs/symbols/$.fn.swipe.html	(from http://labs.rampinteractive.co.uk/touchSwipe/docs/)
03:14:26	32917/32917	---MCZ	200	added ('OK')	text/html	etag:%2205d336fa34d524467a21f044fecc187e%22	http://labs.rampinteractive.co.uk/touchSwipe/docs/symbols/%24.fn.swipe.defaults.html	/Users/MartinBratteng/websites/touchSwipe/labs.rampinteractive.co.uk/touchSwipe/docs/symbols/$.fn.swipe.defaults.html	(from http://labs.rampinteractive.co.uk/touchSwipe/docs/)
03:14:27	11548/11548	---MCZ	200	added ('OK')	text/html	etag:%22c4ea73c3953dd806767a57c5be0a332b%22	http://labs.rampinteractive.co.uk/touchSwipe/docs/symbols/%24.fn.swipe.directions.html	/Users/MartinBratteng/websites/touchSwipe/labs.rampinteractive.co.uk/touchSwipe/docs/symbols/$.fn.swipe.directions.html	(from http://labs.rampinteractive.co.uk/touchSwipe/docs/)
03:14:27	10020/10020	---MCZ	200	added ('OK')	text/html	etag:%22fad19c599a82e9fd9572c4f43b627c9f%22	http://labs.rampinteractive.co.uk/touchSwipe/docs/symbols/%24.fn.swipe.fingers.html	/Users/MartinBratteng/websites/touchSwipe/labs.rampinteractive.co.uk/touchSwipe/docs/symbols/$.fn.swipe.fingers.html	(from http://labs.rampinteractive.co.uk/touchSwipe/docs/)
03:14:27	9953/9953	---MCZ	200	added ('OK')	text/html	etag:%22d539d231870f244458da0e9c516ab018%22	http://labs.rampinteractive.co.uk/touchSwipe/docs/symbols/%24.fn.swipe.pageScroll.html	/Users/MartinBratteng/websites/touchSwipe/labs.rampinteractive.co.uk/touchSwipe/docs/symbols/$.fn.swipe.pageScroll.html	(from http://labs.rampinteractive.co.uk/touchSwipe/docs/)
03:14:27	9954/9954	---MCZ	200	added ('OK')	text/html	etag:%22104e192f10db15654dd3450325d1617b%22	http://labs.rampinteractive.co.uk/touchSwipe/docs/symbols/%24.fn.swipe.phases.html	/Users/MartinBratteng/websites/touchSwipe/labs.rampinteractive.co.uk/touchSwipe/docs/symbols/$.fn.swipe.phases.html	(from http://labs.rampinteractive.co.uk/touchSwipe/docs/)
03:14:28	4981/4981	---MCZ	200	added ('OK')	text/html	etag:%22a6b45a35c52f5204f56709d5b7c4e130%22	http://labs.rampinteractive.co.uk/touchSwipe/docs/symbols/_global_.html	/Users/MartinBratteng/websites/touchSwipe/labs.rampinteractive.co.uk/touchSwipe/docs/symbols/_global_.html	(from http://labs.rampinteractive.co.uk/touchSwipe/docs/)
03:14:28	76258/76258	---MCZ	200	added ('OK')	text/html	etag:%222629fc53326b19b969fde554a6d5e3cf%22	http://labs.rampinteractive.co.uk/touchSwipe/docs/symbols/src/jquery.touchSwipe.js.html	/Users/MartinBratteng/websites/touchSwipe/labs.rampinteractive.co.uk/touchSwipe/docs/symbols/src/jquery.touchSwipe.js.html	(from http://labs.rampinteractive.co.uk/touchSwipe/docs/)
03:14:29	12754/12754	---MCZ	200	added ('OK')	text/html	etag:%22ffd427346b07583e0b8d96047cd5c351%22	http://labs.rampinteractive.co.uk/touchSwipe/docs/index.html	/Users/MartinBratteng/websites/touchSwipe/labs.rampinteractive.co.uk/touchSwipe/docs/index-2.html	(from http://labs.rampinteractive.co.uk/touchSwipe/docs/files.html)
